time,event,player1,player2,score
3:17,s,,,
3:19,b,a,a,
3:28,s,,,
3:29,a,r,a,2
3:47,s,,,
3:48,b,a,a,
3:57,s,,,
3:58,b,a,a,
4:07,s,,,
4:08,a,a,a,2
4:22,s,,,
4:23,b,a,a,
4:31,s,,,
4:32,pr,pr,a,1
4:49,s,,,
4:50,a,a,a,2
5:09,s,,,
5:14,a,p,a,2
5:38,s,,,
5:39,b,a,a,
5:48,s,,,
5:54,a,p,a,2
6:15,s,,,
6:16,a,a,a,1
6:33,s,,,
6:34,a,a,a,2
6:46,s,,,
6:51,a,p,a,2
7:12,s,,,
7:13,a,a,p,1
7:28,s,,,
7:29,b,a,a,
7:48,s,,,
7:50,a,a,r,1
8:14,s,,,
8:18,a,a,a,2
9:48,s,,,
9:49,b,a,a,
9:57,s,,,
9:59,a,a,a,1
10:26,s,,,
10:27,a,a,a,1
11:00,s,,,
11:01,a,a,a,1
11:22,s,,,
11:23,b,a,a,
11:39,s,,,
11:40,pr,pr,a,1
11:57,s,,,
11:58,pr,a,pr,2
12:37,s,,,
12:40,a,p,a,2
12:54,s,,,
12:55,pr,pr,a,1
13:16,s,,,
13:17,b,a,a,
13:29,s,,,
13:30,a,a,a,1
13:55,s,,,
13:56,a,a,a,1
15:29,s,,,
15:30,b,a,a,
15:41,s,,,
15:42,i,a,pr,
16:30,s,,,
16:31,a,a,p,1
16:48,s,,,
16:49,a,a,a,2
17:44,s,,,
17:46,a,a,r,1
18:11,s,,,
18:12,i,r,a,
18:37,s,,,
18:38,pr,pr,a,1
19:01,s,,,
19:02,pr,pr,a,1
