time,event,player1,player2,score,position
2:15,s,,,,4
2:17,r,a,r,,7
2:18,i,,,,6
2:39,s,,,,4
2:40,b,a,a,,4
2:46,s,,,,4
2:47,a,a,a,2,6
3:01,s,,,,4
3:02,a,a,a,2,4
3:27,s,,,,4
3:28,a,a,r,1,4
3:36,s,,,,4
3:37,b,a,a,,4
3:46,s,,,,4
3:47,a,a,a,1,4
4:05,s,,,,4
4:06,pr,apr,pr,1,4
4:23,s,,,,4
4:24,a,a,a,2,4
4:40,s,,,,4
4:41,b,a,a,,4
4:48,s,,,,4
4:49,r,r,r,,4
4:50,pr,pr,a,1,4
5:02,s,,,,4
5:03,a,a,a,2,4
5:15,s,,,,4
5:16,p,p,a,,4
5:17,a,a,a,1,4
5:35,s,,,,4
5:36,r,a,r,,4
5:37,a,r,a,2,4
5:56,s,,,,4
5:57,a,r,a,2,4
6:10,s,,,,4
6:11,b,a,a,,4
6:19,s,,,,4
6:20,ra,ra,a,1,4
6:53,s,,,,4
6:54,r,r,r,,4
6:55,a,a,a,1,4
7:24,s,,,,4
7:25,a,a,a,2,4
7:38,s,,,,4
7:39,a,a,a,1,4
8:52,s,,,,4
8:54,pr,pr,a,1,4
9:07,s,,,,4
9:08,r,a,r,,4
9:11,a,r,a,2,3
9:31,s,,,,4
9:32,b,a,a,,4
9:41,s,,,,4
9:42,ra,ra,a,1,4
9:59,s,,,,4
10:00,b,ra,ra,,4
10:10,s,,,,4
10:11,a,a,a,2,4
10:44,s,,,,4
10:46,b,ra,ra,,4
10:57,s,,,,4
10:58,b,a,a,,4
11:17,s,,,,4
11:18,r,a,r,,5
11:19,a,a,r,1,6
12:00,s,,,,4
12:01,a,a,f,1,4
12:16,s,,,,4
12:18,ra,ra,ra,1,4
12:30,s,,,,4
12:31,b,a,a,,4
12:44,s,,,,4
12:45,ra,ra,ra,1,4
13:15,s,,,,4
13:16,a,f,a,2,4
13:34,s,,,,4
13:35,b,a,a,,4
13:46,s,,,,4
13:47,a,a,a,1,4
